1_month,3_month,6_month,0,1,2
16644.072424322367,16340.07525227964,16306.644633188844,39.44694900512695,40.462711334228516,42.854225158691406
16642.864164710045,16339.745057746768,16294.951119795442,,,
16643.763261288404,16341.120517775416,16286.840322241187,,,
16642.122804373503,16343.476571440697,16285.301868095994,,,
16642.96196117997,16344.15431149304,16302.91995473206,,,
16644.70757558942,16346.545592918992,16313.853179439902,,,
16648.038965016603,16350.711407065392,16316.066744700074,,,
16654.153873324394,16350.063636898994,16309.344026073813,,,
16649.605811685324,16347.283798530698,16323.646496906877,,,
16648.924391120672,16342.063254714012,16344.546548947692,,,
16647.336512953043,16334.258991256356,16353.230454847217,,,
16648.064202815294,16325.34321308136,16350.728232264519,,,
16644.42995980382,16318.330785557628,16334.104935526848,,,
16642.61809617281,16320.3130043298,16326.48732662201,,,
16644.710730314255,16318.14781151712,16331.24202273786,,,
16650.686830729246,16309.844575747848,16337.832242920995,,,
16654.61972102523,16303.327440023422,16334.274764880538,,,
16659.23192873597,16307.401767149568,16319.235665798187,,,
16666.698110848665,16313.116025403142,16306.480587497354,,,
16662.478140592575,16309.30669516325,16308.783536627889,,,
,16297.558499872684,16304.198144078255,,,
,16293.163442388177,16289.286811351776,,,
,16285.955421924591,16265.763605609536,,,
,16282.791758701205,16261.96111060679,,,
,16277.145327031612,16261.990554705262,,,
,16274.361282363534,16269.115500748158,,,
,16266.114305853844,16264.52169559896,,,
,16256.719535291195,16254.982859268785,,,
,16244.695827364922,16249.453152418137,,,
,16241.009531393647,16245.919334813952,,,
,16247.396271824837,16234.729000031948,,,
,16261.234472319484,16233.582783341408,,,
,16264.310329034925,16227.892185524106,,,
,16264.853993281722,16254.428679272532,,,
,16267.224768996239,16276.74152225256,,,
,16268.246374055743,16280.340537503362,,,
,16265.012255311012,16247.011395394802,,,
,16264.89027261734,16245.476621761918,,,
,16263.033717051148,16240.195612385869,,,
,16254.730481281877,16250.260761976242,,,
,16246.42619393766,16260.942134484649,,,
,16236.988308802247,16262.532115802169,,,
,16226.819053292274,16264.59320269525,,,
,16220.45439593494,16261.89959347248,,,
,16215.44521868229,16260.711313784122,,,
,16208.21721829474,16259.268552958965,,,
,16206.933245286345,16257.618106082082,,,
,16194.369553625584,16264.961253926158,,,
,16181.151782348752,16270.87951771915,,,
,16166.138446852565,16282.748644128442,,,
,16212.33097948134,16275.922871157527,,,
,16215.741762816906,16266.101686954498,,,
,16212.605966329575,16271.967372000217,,,
,16205.737078785896,16279.644394889474,,,
,16200.260476469994,16310.413477793336,,,
,16197.770346999168,16323.291064575315,,,
,16197.05685339868,16329.064211025834,,,
,16199.568540155888,16295.51423817873,,,
,16207.232418358326,16295.327583625913,,,
,16204.562995359302,16290.548701286316,,,
,,16292.367925941944,,,
,,16303.232272490859,,,
,,16298.257271423936,,,
,,16305.211862325668,,,
,,16318.295032009482,,,
,,16322.11119748652,,,
,,16321.544924378395,,,
,,16324.176490679383,,,
,,16329.880233183503,,,
,,16334.305260553956,,,
,,16335.381547510624,,,
,,16329.915460944176,,,
,,16325.977838560939,,,
,,16330.943901240826,,,
,,16345.998773947358,,,
,,16358.739655986428,,,
,,16367.899925336242,,,
,,16381.713939607143,,,
,,16400.05182929337,,,
,,16409.54544790089,,,
,,16416.158802732825,,,
,,16422.27476261556,,,
,,16430.47494404018,,,
,,16438.86072844267,,,
,,16449.137244597077,,,
,,16454.403006136417,,,
,,16457.223855927587,,,
,,16464.94451917708,,,
,,16464.843567982316,,,
,,16468.706002756953,,,
,,16467.88156799972,,,
,,16449.505295827985,,,
,,16434.638129249215,,,
,,16429.49697934091,,,
,,16437.534166648984,,,
,,16456.152301058173,,,
,,16467.026111781597,,,
,,16469.944758042693,,,
,,16471.666186228395,,,
,,16475.808865725994,,,
,,16475.795721039176,,,
,,16486.896146163344,,,
,,16495.122091174126,,,
,,16491.170798316598,,,
,,16498.610691055655,,,
,,16511.673880815506,,,
,,16522.81794629991,,,
,,16548.857570886612,,,
,,16564.890934079885,,,
,,16568.214962482452,,,
,,16519.3309237808,,,
,,16503.25023971498,,,
,,16504.81918953359,,,
,,16516.119939684868,,,
,,16537.15669646859,,,
,,16552.520206421614,,,
,,16561.92233800888,,,
,,16558.15769970417,,,
,,16561.01903513074,,,
,,16568.07930931449,,,
