1_month,3_month,6_month,0,1,2
7261.273554474115,7177.489195629954,7252.7167546749115,14.052331924438477,15.673149108886719,19.678844451904297
7262.2867640554905,7176.556530088186,7252.006972283125,,,
7263.154956102371,7176.673998117447,7250.831144094467,,,
7264.046297386289,7177.101398080587,7248.368141800165,,,
7264.57107719779,7178.402538254857,7245.453825041652,,,
7265.456487685442,7179.424931004643,7248.709258243442,,,
7266.058941796422,7180.928866147995,7248.673482149839,,,
7266.635376930237,7182.159028083086,7248.452129527926,,,
7267.680727601051,7183.018419593573,7248.9629432708025,,,
7268.392997100949,7183.967346996069,7249.873607471585,,,
7268.871478438377,7185.25758215785,7251.174365013838,,,
7269.711738348007,7186.574027612805,7252.7142675668,,,
7270.453661829233,7187.981922119856,7253.427876278758,,,
7270.936543434858,7187.405486986041,7252.892765402794,,,
7271.197498470545,7188.16309837997,7259.032096117735,,,
7271.719217225909,7189.0161764621735,7260.988302305341,,,
7272.091709494591,7189.965486496687,7262.316800668836,,,
7272.56732109189,7190.8797857016325,7264.277981072664,,,
7273.008113175631,7191.616926282644,7264.808309048414,,,
7273.490038201213,7192.088520243764,7266.248535960913,,,
,7192.222250133753,7267.76241953671,,,
,7192.185326144099,7268.873965546489,,,
,7192.450681447983,7269.398362725973,,,
,7193.40879201889,7269.531136035919,,,
,7194.437880828977,7269.259275987744,,,
,7195.518242329359,7269.01802650094,,,
,7197.410548970103,7268.461296916008,,,
,7199.9827927052975,7266.4894028157,,,
,7202.531121939421,7264.1517125070095,,,
,7204.600013256073,7261.194732278585,,,
,7207.982480287552,7258.349480599165,,,
,7212.065929174423,7255.2868939340115,,,
,7215.378374546766,7251.726120382547,,,
,7218.903754636645,7248.432232663035,,,
,7221.774642661214,7245.819621250033,,,
,7224.611285120249,7243.386272937059,,,
,7227.669088885188,7241.309346348047,,,
,7229.804749488831,7239.400777846575,,,
,7232.382158756256,7237.696152210236,,,
,7234.706648260355,7236.79256670177,,,
,7236.493157148361,7237.561083108187,,,
,7238.704770207405,7238.4619901925325,,,
,7240.386820554733,7239.109212249517,,,
,7241.799880594015,7239.790871188045,,,
,7242.823038607836,7240.276622533798,,,
,7244.0214420855045,7241.48535707593,,,
,7243.747860193253,7242.273579031229,,,
,7243.797411039472,7243.450937747955,,,
,7245.7323811501265,7242.5442911833525,,,
,7247.108325883746,7241.30092844367,,,
,7248.281284332275,7240.642801374197,,,
,7250.144893571734,7237.792958110571,,,
,7251.705075621605,7240.791836544871,,,
,7253.414101526141,7239.929766610265,,,
,7254.638523980975,7238.857440382242,,,
,7255.765949219465,7238.474617049098,,,
,7256.5013679564,7239.092567756772,,,
,7257.279641479254,7239.539864584804,,,
,7257.452591150999,7239.3380261957645,,,
,7257.385439231992,7239.598024651408,,,
,,7240.329234436154,,,
,,7240.573927611113,,,
,,7241.192452266812,,,
,,7242.258082434535,,,
,,7244.2202194184065,,,
,,7246.498793080449,,,
,,7248.235368490219,,,
,,7249.577067658305,,,
,,7250.839179366827,,,
,,7251.8477973639965,,,
,,7252.760183408856,,,
,,7253.095751687884,,,
,,7250.756148219109,,,
,,7254.265075132251,,,
,,7254.701466947794,,,
,,7255.032061010599,,,
,,7255.969126820564,,,
,,7256.814360946417,,,
,,7257.722729355097,,,
,,7258.457765460014,,,
,,7258.722929447889,,,
,,7258.8361885249615,,,
,,7259.0690201073885,,,
,,7259.388709157705,,,
,,7259.909853965044,,,
,,7260.411867171526,,,
,,7261.39446619153,,,
,,7262.050297468901,,,
,,7262.982389062643,,,
,,7264.615462511778,,,
,,7266.074247077107,,,
,,7267.595591977239,,,
,,7268.862295269966,,,
,,7270.3136185109615,,,
,,7272.031062319875,,,
,,7273.245727658272,,,
,,7274.6119152754545,,,
,,7275.075282648206,,,
,,7275.948640227318,,,
,,7277.100745230913,,,
,,7278.545946359634,,,
,,7279.838668629527,,,
,,7281.127564579248,,,
,,7281.879819124937,,,
,,7283.071335226297,,,
,,7284.184794396162,,,
,,7284.632282540202,,,
,,7285.1934123933315,,,
,,7286.00574016571,,,
,,7286.711696237326,,,
,,7287.67286786437,,,
,,7288.829181820154,,,
,,7289.630030632019,,,
,,7290.283948749304,,,
,,7290.730480313301,,,
,,7291.584514975548,,,
,,7292.05840472877,,,
,,7293.044638752937,,,
,,7294.199230864644,,,
,,7295.043891042471,,,
